file	rds_file	mode	clock	model_species	tissue	preprocessing	source_size	source_checksum	source_url	rds_size	rds_md5
EN_Mortality_Multispecies_Multitissue_scaleddiff.pkl	models/EN_Mortality_Multispecies_Multitissue_scaleddiff.rds	EN	Mortality	Multispecies	Multitissue	scaled_diff	584873	md5:87307d7f5572d9932382912d3fd9571c	https://zenodo.org/api/records/18763485/files/EN_Mortality_Multispecies_Multitissue_scaleddiff.pkl/content	260356	df84bd5b49c3898a18b8b040cab6e6c1
EN_Mortality_Multispecies_Multitissue_yugenediff.pkl	models/EN_Mortality_Multispecies_Multitissue_yugenediff.rds	EN	Mortality	Multispecies	Multitissue	yugene_diff	584873	md5:bd371c5a7c6706c363dcac9662ceab00	https://zenodo.org/api/records/18763485/files/EN_Mortality_Multispecies_Multitissue_yugenediff.pkl/content	203664	bdea4498591c53c803b3769fda7b78b3
EN_Mortality_Rodents_Liver_scaleddiff.pkl	models/EN_Mortality_Rodents_Liver_scaleddiff.rds	EN	Mortality	Rodents	Liver	scaled_diff	913774	md5:cd76d203c42f88a7580707c36a7e4a0b	https://zenodo.org/api/records/18763485/files/EN_Mortality_Rodents_Liver_scaleddiff.pkl/content	287892	9c58e9ca4a11a768b75e8c921d23080f
EN_Mortality_Rodents_Liver_yugenediff.pkl	models/EN_Mortality_Rodents_Liver_yugenediff.rds	EN	Mortality	Rodents	Liver	yugene_diff	918512	md5:d4d0f33b64f23b734c3e95d06e78eba3	https://zenodo.org/api/records/18763485/files/EN_Mortality_Rodents_Liver_yugenediff.pkl/content	290436	d6f17aa8b6fec9deb0ab8d88f584c094
EN_Mortality_Rodents_Multitissue_scaleddiff.pkl	models/EN_Mortality_Rodents_Multitissue_scaleddiff.rds	EN	Mortality	Rodents	Multitissue	scaled_diff	934823	md5:26cc9e089e45bf978205738e56f190fb	https://zenodo.org/api/records/18763485/files/EN_Mortality_Rodents_Multitissue_scaleddiff.pkl/content	398896	c2ddaf78a13c9dc4c260c23422f2451f
EN_Mortality_Rodents_Multitissue_yugenediff.pkl	models/EN_Mortality_Rodents_Multitissue_yugenediff.rds	EN	Mortality	Rodents	Multitissue	yugene_diff	938484	md5:27e6fcd83926eb3fc3680fa0ab23c5ff	https://zenodo.org/api/records/18763485/files/EN_Mortality_Rodents_Multitissue_yugenediff.pkl/content	393376	39cd0e97d92a4518b09305880b15c114
EN_NormalizedAge_Mouse_Multitissue_scaleddiff.pkl	models/EN_NormalizedAge_Mouse_Multitissue_scaleddiff.rds	EN	NormalizedAge	Mouse	Multitissue	scaled_diff	964509	md5:fc3ddb5a235db2d280f1fd37284f9f73	https://zenodo.org/api/records/18763485/files/EN_NormalizedAge_Mouse_Multitissue_scaleddiff.pkl/content	406992	ce1029a1ceae33dd5315d531f0203c81
EN_NormalizedAge_Mouse_Multitissue_yugenediff.pkl	models/EN_NormalizedAge_Mouse_Multitissue_yugenediff.rds	EN	NormalizedAge	Mouse	Multitissue	yugene_diff	970099	md5:c3ef18b0b8a8ae5609f9b41cd87234af	https://zenodo.org/api/records/18763485/files/EN_NormalizedAge_Mouse_Multitissue_yugenediff.pkl/content	406768	59101fd7b03298a237d9fd2cf77acf63
EN_NormalizedAge_Multispecies_Multitissue_scaleddiff.pkl	models/EN_NormalizedAge_Multispecies_Multitissue_scaleddiff.rds	EN	NormalizedAge	Multispecies	Multitissue	scaled_diff	584873	md5:a009e1cc7049c7cfc7efd41e1c348476	https://zenodo.org/api/records/18763485/files/EN_NormalizedAge_Multispecies_Multitissue_scaleddiff.pkl/content	189536	b0f8d3a19c3cd76e066bd6294ee33938
EN_NormalizedAge_Multispecies_Multitissue_yugenediff.pkl	models/EN_NormalizedAge_Multispecies_Multitissue_yugenediff.rds	EN	NormalizedAge	Multispecies	Multitissue	yugene_diff	584873	md5:634b7ef57c1ce535cce1172023f444b3	https://zenodo.org/api/records/18763485/files/EN_NormalizedAge_Multispecies_Multitissue_yugenediff.pkl/content	192836	e6be8ecd645bfaf1eda8a015eeef4c21
EN_NormalizedAge_Rodents_Liver_scaleddiff.pkl	models/EN_NormalizedAge_Rodents_Liver_scaleddiff.rds	EN	NormalizedAge	Rodents	Liver	scaled_diff	913774	md5:791f866582741402cabb6eed4c0bde30	https://zenodo.org/api/records/18763485/files/EN_NormalizedAge_Rodents_Liver_scaleddiff.pkl/content	292408	5081f89a11830ebdee4e4be9503b5178
EN_NormalizedAge_Rodents_Liver_yugenediff.pkl	models/EN_NormalizedAge_Rodents_Liver_yugenediff.rds	EN	NormalizedAge	Rodents	Liver	yugene_diff	918512	md5:8dabb0f4f2354d9e0eaff2b01e3113db	https://zenodo.org/api/records/18763485/files/EN_NormalizedAge_Rodents_Liver_yugenediff.pkl/content	409104	f92468ed0ed39cc115eee66ebfb9c3b8
EN_NormalizedAge_Rodents_Multitissue_scaleddiff.pkl	models/EN_NormalizedAge_Rodents_Multitissue_scaleddiff.rds	EN	NormalizedAge	Rodents	Multitissue	scaled_diff	934823	md5:bbf2b0f8feecaafb29456e3403616144	https://zenodo.org/api/records/18763485/files/EN_NormalizedAge_Rodents_Multitissue_scaleddiff.pkl/content	399300	67cf0190641d41c30e4161936d093880
EN_NormalizedAge_Rodents_Multitissue_yugenediff.pkl	models/EN_NormalizedAge_Rodents_Multitissue_yugenediff.rds	EN	NormalizedAge	Rodents	Multitissue	yugene_diff	938484	md5:b37545ab983594d4eae123ce7947c880	https://zenodo.org/api/records/18763485/files/EN_NormalizedAge_Rodents_Multitissue_yugenediff.pkl/content	393168	126c07e20e4906c41a220a294bd4dbee
